nama,kode,harga,jenis,status
PLAYCIRCLE 50000,HKPLC50,45975,2,1
PLAYCIRCLE 100000,HKPLC100,90975,2,1
PLAYFISH COUPON 20000,HKPLF20,18975,2,1
PLAYFISH COUPON 50000,HKPLF50,45975,2,1
PLAYFISH COUPON 100000,HKPLF100,90975,2,1
PLAYNEXIA 25000,HKPYN25,23475,2,1
PLAYNEXIA 50000,HKPYN50,45975,2,1
PLAYNEXIA 100000,HKPYN100,90975,2,1
PLAYNEXIA 200000,HKPYN200,180975,2,1
26000 PLAYON,HKGPY10,9975,2,1
78000 PLAYON,HKGPY30,27975,2,1
130000 PLAYON,HKGPY50,45975,2,1
260000 PLAYON,HKGPY100,90975,2,1
PLAYPOINT 26000,HKPLP26,9975,2,1
PLAYPOINT 78000,HKPLP78,27975,2,1
PLAYPOINT 130000,HKPLP130,45975,2,1
PLAYPOINT 260000,HKPLP260,90975,2,1
ULTIMATE GAME CARD 250 POINTS,HKUGC25,25975,2,1
ULTIMATE GAME CARD 500 POINTS,HKUGC50,62175,2,1
ULTIMATE GAME CARD 1000 POINTS,HKUGC100,123475,2,1
ULTIMATE GAME CARD 2000 POINTS,HKUGC200,239975,2,1
PLAYSTATION STORE PREPAID CARD V100,HKID100,127975,2,1
PLAYSTATION STORE PREPAID CARD V200,HKID200,255975,2,1
PLAYSTATION STORE PREPAID CARD V400,HKID400,510975,2,1
GAME FACEBOOK - POOL LIVE TOUR 20000,HKPLT20,18975,2,1
GAME FACEBOOK - POOL LIVE TOUR 50000,HKPLT50,45975,2,1
GAME FACEBOOK - POOL LIVE TOUR 100000,HKPLT100,90975,2,1
QASH 2300,HKGQ10,10375,2,1
QASH 6900,HKGQ30,29175,2,1
QASH 11500,HKGQ50,47975,2,1
QASH 23000,HKGQ100,94975,2,1
QASH 69000,HKGQ300,270975,2,1
QASH 115000,HKGQ500,450975,2,1
QASH 230000,HKGQ1000,900975,2,1
RAPPELZONLINE - 1000 RAPPELZ POINT,HKGRB10,10175,2,1
RAPPELZONLINE - 2000 RAPPELZ POINT,HKGRB20,19375,2,1
RAPPELZONLINE - 5000 RAPPELZ POINT,HKGRB50,46975,2,1
RAPPELZONLINE - 10000 RAPPELZ POINT,HKGRB100,92975,2,1
ROSE 8000 KOIN,HKGST30,27975,2,1
ROSE 15000 KOIN,HKGST50,45975,2,1
ROSE 30000 KOIN,HKGST100,90975,2,1
SERENITY 2500 KOIN,HKSRT2,10075,2,1
SERENITY 8000 KOIN,HKSRT8,28275,2,1
SERENITY 15000 KOIN,HKSRT15,46475,2,1
SERENITY 30000 KOIN,HKSRT30,91975,2,1
GAME SOFTNYX 20000,HKSOF20,18975,2,1
GAME SOFTNYX 50000,HKSOF50,45975,2,1
GAME SOFTNYX 100000,HKSOF100,90975,2,1
SPIN 2500,HKSPN2,3725,2,1
SPIN 10000,HKSPN10,11875,2,1
SPIN 20000,HKSPN20,22825,2,1
SPIN 30000,HKSPN30,33725,2,1
SPIN 50000,HKSPN50,55425,2,1
SPIN 100000,HKSPN100,109775,2,1
STEAM - 12000,HKSTE12,15775,2,1
STEAM - 45000,HKSTE45,54175,2,1
STEAM - 60000,HKSTE60,71925,2,1
STEAM - 90000,HKSTE90,107375,2,1
STEAM - 120000,HKSTE120,142825,2,1
STEAM - 250000,HKSTE250,296475,2,1
STEAM - 400000,HKSTE400,474775,2,1
STEAM - 600000,HKSTE600,711175,2,1
1000 TERA - TS2,HKGTA10,9975,2,1
2000 TERA - TS2,HKGTA20,18975,2,1
3000 TERA - TS2,HKGTA30,27975,2,1
5000 TERA - TS2,HKGTA50,45975,2,1
10000 TERA - TS2,HKGTA100,90975,2,1
20000 TERA - TS2,HKGTA200,180975,2,1
30000 TERA - TS2,HKGTA300,270975,2,1
TRAVIAN 27000,HKTRV27,35975,2,1
TRAVIAN 63500,HKTRV63,85475,2,1
TRAVIAN 137500,HKTRV137,182975,2,1
TRAVIAN 265000,HKTRV265,351975,2,1
VIWAWA 15000,HKVW15,14475,2,1
VIWAWA 30000,HKVW30,27975,2,1
VIWAWA 60000,HKVW60,54975,2,1
VTC ONLINE 5 VCOIN,HKVTC5,5475,2,1
VTC ONLINE 20 VCOIN,HKVTC20,9975,2,1
VTC ONLINE 40 VCOIN,HKVTC40,18975,2,1
VTC ONLINE 60 VCOIN,HKVTC60,27975,2,1
VTC ONLINE 100 VCOIN,HKVTC100,45975,2,1
VTC ONLINE 200 VCOIN,HKVTC200,90975,2,1
WAVEGAME 40 COIN,HKWVP10,9975,2,1
WAVEGAME 82 COIN,HKWVP20,18975,2,1
WAVEGAME 210 COIN,HKWVP50,45975,2,1
WAVEGAME 435 COIN,HKWVP100,90975,2,1
WAVEGAME 1088 COIN,HKWVP250,225975,2,1
WINNER CARD 4000 GP,HKWIN4,6375,2,1
WINNER CARD 8000 GP,HKWIN8,11875,2,1
WINNER CARD 16000 GP,HKWIN16,22475,2,1
WINNER CARD 24000 GP,HKWIN24,33225,2,1
WINNER CARD 40000 GP,HKWIN40,54600,2,1
WINNER CARD 80000 GP,HKWIN80,108125,2,1
WINNER CARD 160000 GP,HKWIN160,214275,2,1
XBOX LIVE GIFT CARD $10,HKBOX10,140975,2,1
XBOX LIVE GIFT CARD $15,HKBOX15,206975,2,1
XBOX LIVE GIFT CARD $25,HKBOX25,325975,2,1
XBOX LIVE GIFT CARD $50,HKBOX50,643975,2,1
ZYNGA 20000,HKZNG20,26975,2,1
ZYNGA 50000,HKZNG50,65975,2,1
ZYNGA 100000,HKZNG100,130975,2,1
"HOTROD XTRA 500MB, 7HR, RP15RB",HCX15,16475,1,1
"HOTROD XTRA 1GB, 30HR, RP30RB",HCX30,31475,1,1
"HOTROD XTRA 1GB, 60MNT,30HR,RP39RB",HXT35,36475,1,1
"COMBO XTRA 800MB, 30HR, RP39RB",HCX39,40075,1,1
"\tCOMBO XTRA 12GB, 30HR, RP59RB",HCX53,54075,1,1
"COMBO XTRA 19GB, 30HR, RP89RB",HCX80,81075,1,1
"\tHOTROD XTRA 4GB,150MNT,30HR,RP89RB",HXT80,81475,1,1
"HOTROD XTRA 6GB,200MNT,30HR,RP129RB",HXT115,116475,1,1
"COMBO XTRA 26GB, 30HR, RP129RB",HCX116,117075,1,1
"\tHOTROD XTRA 8GB,225MNT,30HR,RP159RB",HXT825,126475,1,1
"HOTROD XTRA 10GB,250MNT,30HR,RP179RB",HXT145,146475,1,1
"COMBO XTRA 40GB, 30HR, RP179RB",HCX161,162075,1,1
"HOTROD XTRA 16GB,300MNT,30HR,RP239RB",HXT190,191475,1,1
"\tCOMBO XTRA 56GB, 30HR, RP239RB",HCX215,216075,1,1

