ip,hits,online,tanggal
141.0.10.192,1,1367532284,2013-05-03
202.152.202.165,1,1367532569,2013-05-03
180.253.108.134,2,1367533651,2013-05-03
103.10.66.64,1,1367533803,2013-05-03
180.253.225.186,1,1367533937,2013-05-03
180.248.188.31,1,1367537319,2013-05-03
139.193.212.185,2,1367541433,2013-05-03
180.241.237.46,1,1367542167,2013-05-03
139.192.23.133,1,1367545852,2013-05-03
180.183.144.142,1,1367546899,2013-05-03
180.76.5.160,1,1367555865,2013-05-03
117.20.51.22,1,1367556664,2013-05-03
180.76.5.144,1,1367557665,2013-05-03
94.142.155.123,1,1367559042,2013-05-03
190.107.140.77,1,1367561932,2013-05-03
192.168.6.121,1,1367567328,2013-05-03
103.3.222.247,1,1367567886,2013-05-03
139.255.238.9,2,1367568395,2013-05-03
114.79.0.88,2,1367568566,2013-05-03
157.56.93.39,1,1367573004,2013-05-03
36.75.174.194,2,1367573857,2013-05-03
39.195.163.205,1,1367574406,2013-05-03
202.58.86.15,1,1367575376,2013-05-03
223.255.230.65,5,1367577128,2013-05-03
36.72.89.45,2,1367577417,2013-05-03
198.200.36.152,1,1367577683,2013-05-03
111.94.139.63,1,1367578002,2013-05-03
118.96.66.34,1,1367579296,2013-05-03
39.218.24.91,2,1367581064,2013-05-03
112.215.66.66,1,1367581518,2013-05-03
114.79.12.49,1,1367585630,2013-05-03
222.165.251.39,1,1367585709,2013-05-03
120.168.0.88,1,1367586351,2013-05-03
219.83.33.146,1,1367588192,2013-05-03
64.246.161.30,1,1367588700,2013-05-03
128.220.247.246,1,1367589105,2013-05-03
141.0.8.161,1,1367589999,2013-05-03
192.168.6.208,1,1367590623,2013-05-03
125.161.9.48,1,1367594287,2013-05-03
223.255.227.4,1,1367595560,2013-05-03
203.142.64.162,1,1367595957,2013-05-03
222.124.202.185,1,1367595991,2013-05-03
202.158.62.50,1,1367598178,2013-05-03
66.249.74.91,19,1367685903,2013-05-04
65.55.213.69,17,1367613447,2013-05-04
180.76.5.183,1,1367603939,2013-05-04
114.79.63.136,1,1367604478,2013-05-04
36.73.68.88,1,1367604501,2013-05-04
192.168.7.11,1,1367606953,2013-05-04
111.95.192.47,1,1367608132,2013-05-04
66.249.74.97,5,1367665001,2013-05-04
180.242.89.233,1,1367609535,2013-05-04
112.215.66.82,1,1367611013,2013-05-04
180.241.24.82,1,1367612966,2013-05-04
114.120.195.73,1,1367614616,2013-05-04
114.120.195.76,1,1367614670,2013-05-04
114.120.195.78,2,1367614728,2013-05-04
36.76.190.11,1,1367616277,2013-05-04
66.249.80.142,1,1367618523,2013-05-04
206.53.152.167,1,1367618682,2013-05-04
206.53.152.1,1,1367618683,2013-05-04
206.53.152.169,1,1367619233,2013-05-04
114.79.0.233,1,1367619405,2013-05-04
125.167.14.112,2,1367620023,2013-05-04
114.79.18.91,1,1367621693,2013-05-04
223.255.231.137,1,1367622582,2013-05-04
111.68.24.71,1,1367628392,2013-05-04
180.76.5.16,1,1367628534,2013-05-04
180.76.5.58,1,1367629273,2013-05-04
180.76.5.26,1,1367630011,2013-05-04
180.76.5.59,1,1367630749,2013-05-04
180.76.6.28,2,1367632226,2013-05-04
180.76.5.196,1,1367632965,2013-05-04
180.76.5.49,1,1367633703,2013-05-04
180.76.5.100,1,1367634442,2013-05-04
180.76.5.154,1,1367635180,2013-05-04
36.74.96.76,1,1367636517,2013-05-04
180.76.5.13,1,1367636657,2013-05-04
216.152.251.27,1,1367637161,2013-05-04
180.76.5.137,1,1367637395,2013-05-04
180.76.5.188,1,1367637396,2013-05-04
199.15.234.122,1,1367641880,2013-05-04
188.92.75.82,1,1367646554,2013-05-04
125.161.195.104,1,1367647972,2013-05-04
182.7.97.254,4,1367649014,2013-05-04
114.79.0.205,5,1367651319,2013-05-04
50.17.36.230,1,1367650568,2013-05-04
114.79.13.72,1,1367650721,2013-05-04
180.246.203.87,2,1367651800,2013-05-04
206.53.148.213,1,1367654893,2013-05-04
152.118.148.226,1,1367655228,2013-05-04
114.79.13.13,1,1367657966,2013-05-04
114.79.19.20,1,1367658319,2013-05-04
36.72.93.29,1,1367659249,2013-05-04
114.79.2.237,1,1367659714,2013-05-04
103.3.222.220,2,1367660071,2013-05-04
157.55.32.107,1,1367660310,2013-05-04
192.168.6.17,2,1367663528,2013-05-04
114.79.29.33,1,1367665271,2013-05-04
202.46.129.15,2,1367671833,2013-05-04
202.95.139.163,1,1367666209,2013-05-04
118.96.150.242,1,1367666339,2013-05-04
110.137.198.164,1,1367666644,2013-05-04
182.4.237.40,1,1367668342,2013-05-04
114.79.17.235,1,1367668485,2013-05-04
202.79.203.99,1,1367670756,2013-05-04
117.103.57.2,1,1367673682,2013-05-04
39.211.159.151,1,1367674233,2013-05-04
173.199.120.59,1,1367676218,2013-05-04
202.67.15.226,1,1367687002,2013-05-05
118.97.95.30,1,1367687954,2013-05-05
66.249.74.91,16,1367770277,2013-05-05
180.76.5.10,1,1367693635,2013-05-05
180.76.6.232,1,1367694533,2013-05-05
180.76.5.101,1,1367695433,2013-05-05
118.137.78.29,2,1367695784,2013-05-05
14.139.184.97,1,1367696265,2013-05-05
139.194.45.193,1,1367696518,2013-05-05
103.10.65.117,1,1367696924,2013-05-05
103.10.66.73,1,1367697066,2013-05-05
66.249.74.97,10,1367769147,2013-05-05
180.76.6.29,1,1367699033,2013-05-05
110.76.148.238,1,1367699304,2013-05-05
223.255.231.157,3,1367700736,2013-05-05
173.199.114.115,1,1367701563,2013-05-05
103.3.223.98,1,1367704993,2013-05-05
157.55.32.107,4,1367756247,2013-05-05
188.143.234.127,1,1367709607,2013-05-05
66.249.80.142,1,1367713072,2013-05-05
173.199.119.139,1,1367713410,2013-05-05
78.109.182.5,1,1367713650,2013-05-05
157.56.93.39,2,1367737081,2013-05-05
65.55.52.111,2,1367733842,2013-05-05
157.55.33.24,1,1367734558,2013-05-05
180.76.5.191,1,1367735872,2013-05-05
65.55.52.97,2,1367736004,2013-05-05
157.55.32.102,1,1367738413,2013-05-05
223.255.224.28,1,1367739079,2013-05-05
180.248.26.87,2,1367743264,2013-05-05
1.202.218.73,1,1367743067,2013-05-05
180.246.76.226,1,1367744063,2013-05-05
36.76.192.156,3,1367744818,2013-05-05
114.79.3.168,2,1367747964,2013-05-05
112.215.66.67,1,1367747869,2013-05-05
223.255.225.59,2,1367748789,2013-05-05
182.14.103.169,3,1367749765,2013-05-05
124.6.181.203,1,1367755472,2013-05-05
111.95.146.162,2,1367759345,2013-05-05
36.70.184.121,1,1367763419,2013-05-05
39.210.254.176,1,1367765282,2013-05-05
103.10.64.24,1,1367768140,2013-05-05
178.255.215.70,1,1367768599,2013-05-05
125.167.249.170,1,1367771400,2013-05-05
180.76.5.191,1,1367777924,2013-05-06
66.249.74.97,11,1367844840,2013-05-06
110.136.193.49,1,1367779191,2013-05-06
114.79.3.178,2,1367785255,2013-05-06
114.79.51.199,1,1367780835,2013-05-06
173.199.116.83,1,1367783341,2013-05-06
114.79.3.132,1,1367787620,2013-05-06
36.81.101.193,1,1367788679,2013-05-06
36.68.48.100,1,1367788719,2013-05-06
141.0.9.30,1,1367789696,2013-05-06
223.255.224.161,1,1367791223,2013-05-06
114.79.0.32,1,1367791333,2013-05-06
206.53.148.211,2,1367795342,2013-05-06
203.78.118.251,1,1367797707,2013-05-06
66.249.74.91,4,1367839580,2013-05-06
206.53.152.170,1,1367801595,2013-05-06
103.10.64.29,1,1367801951,2013-05-06
157.55.32.107,2,1367830650,2013-05-06
202.67.38.34,1,1367808038,2013-05-06
180.214.233.74,5,1367809634,2013-05-06
223.255.225.55,6,1367810755,2013-05-06
110.136.245.203,1,1367817875,2013-05-06
69.171.237.14,1,1367818901,2013-05-06
182.0.65.156,1,1367822108,2013-05-06
157.56.93.39,1,1367823929,2013-05-06
182.9.80.217,2,1367828491,2013-05-06
180.253.108.197,1,1367829450,2013-05-06
110.138.17.9,2,1367830419,2013-05-06
180.249.60.75,1,1367833792,2013-05-06
180.251.133.50,3,1367835303,2013-05-06
203.24.76.27,3,1367836369,2013-05-06
192.168.6.233,1,1367836049,2013-05-06
206.53.148.144,2,1367836233,2013-05-06
110.137.237.83,1,1367836171,2013-05-06
206.53.148.154,1,1367836321,2013-05-06
206.53.148.155,1,1367836327,2013-05-06
192.168.6.31,4,1367837267,2013-05-06
180.243.78.196,1,1367836934,2013-05-06
192.168.6.225,1,1367839528,2013-05-06
180.247.148.138,1,1367840475,2013-05-06
192.168.7.21,1,1367843377,2013-05-06
180.214.233.76,2,1367844672,2013-05-06
14.128.4.201,1,1367844673,2013-05-06
39.214.32.175,2,1367845192,2013-05-06
192.168.6.51,1,1367845312,2013-05-06
192.168.10.239,1,1367845671,2013-05-06
206.53.152.168,1,1367846309,2013-05-06
103.3.222.212,2,1367846554,2013-05-06
39.195.68.216,1,1367847627,2013-05-06
36.73.43.165,3,1367848241,2013-05-06
180.76.6.28,1,1367849170,2013-05-06
114.79.48.210,1,1367854699,2013-05-06
180.247.4.50,2,1367855022,2013-05-06
110.137.24.87,1,1367855526,2013-05-06
112.215.66.84,1,1367855970,2013-05-06
180.246.64.48,1,1367857689,2013-05-06
114.79.57.182,2,1367858332,2013-05-06
14.139.161.1,1,1367859598,2013-05-06
36.76.185.79,2,1367859948,2013-05-07
110.137.33.229,3,1367860788,2013-05-07
66.249.74.97,7,1367940444,2013-05-07
114.79.55.248,2,1367860790,2013-05-07
157.55.32.107,3,1367908551,2013-05-07
175.136.207.109,3,1367863921,2013-05-07
103.10.65.125,1,1367866010,2013-05-07
67.208.183.235,3,1367870732,2013-05-07
69.171.247.116,1,1367867562,2013-05-07
180.246.87.16,1,1367867970,2013-05-07
39.214.189.20,1,1367868123,2013-05-07
114.30.80.12,2,1367868953,2013-05-07
120.168.0.73,2,1367911313,2013-05-07
39.210.184.80,1,1367870527,2013-05-07
103.10.66.73,1,1367874355,2013-05-07
139.192.23.133,1,1367874802,2013-05-07
118.172.178.89,1,1367874871,2013-05-07
180.248.6.69,1,1367875379,2013-05-07
114.79.2.79,1,1367876032,2013-05-07
180.253.139.228,1,1367876111,2013-05-07
94.201.195.80,1,1367877999,2013-05-07
182.5.75.174,1,1367878735,2013-05-07
66.249.74.91,4,1367944265,2013-05-07
223.255.226.72,2,1367882496,2013-05-07
65.55.52.111,1,1367882438,2013-05-07
182.11.215.216,1,1367882998,2013-05-07
36.70.61.25,3,1367884237,2013-05-07
180.247.151.239,1,1367883722,2013-05-07
103.246.38.196,1,1367884236,2013-05-07
118.172.11.119,1,1367889779,2013-05-07
180.214.233.87,1,1367899728,2013-05-07
110.137.239.217,1,1367907797,2013-05-07
180.249.109.51,1,1367911928,2013-05-07
120.168.1.158,1,1367913042,2013-05-07
192.168.10.239,2,1367928726,2013-05-07
108.224.89.87,1,1367914027,2013-05-07
192.168.7.97,1,1367914925,2013-05-07
66.249.80.142,2,1367924907,2013-05-07
180.214.232.94,2,1367916633,2013-05-07
192.168.6.198,3,1367919523,2013-05-07
180.246.105.110,3,1367919062,2013-05-07
125.162.133.198,3,1367918982,2013-05-07
203.130.201.34,1,1367919091,2013-05-07
180.244.27.79,5,1367926653,2013-05-07
209.131.39.53,1,1367920588,2013-05-07
54.244.56.214,1,1367920616,2013-05-07
202.69.99.198,7,1367920943,2013-05-07
223.255.230.74,1,1367921847,2013-05-07
180.254.46.220,1,1367921933,2013-05-07
202.162.34.50,3,1367927373,2013-05-07
118.96.94.85,1,1367923519,2013-05-07
120.168.0.68,1,1367924835,2013-05-07
222.124.4.118,2,1367926149,2013-05-07
125.164.218.87,1,1367925516,2013-05-07
114.79.17.31,3,1367926193,2013-05-07
114.79.12.73,1,1367926072,2013-05-07
88.214.193.210,2,1367926699,2013-05-07
180.214.233.35,1,1367928547,2013-05-07
110.137.250.203,1,1367929059,2013-05-07
36.68.241.192,1,1367930537,2013-05-07
223.255.225.43,1,1367930698,2013-05-07
103.14.44.30,2,1367932452,2013-05-07
36.68.179.123,1,1367933380,2013-05-07
72.233.72.155,1,1367934463,2013-05-07
182.4.237.70,2,1367937291,2013-05-07
139.194.26.195,1,1367939069,2013-05-07
202.152.202.106,1,1367940988,2013-05-07
39.198.0.184,1,1367944454,2013-05-07
141.0.11.14,2,1367945394,2013-05-07
65.55.213.69,1,1367945635,2013-05-07
182.14.56.39,1,1367946959,2013-05-08
206.53.148.214,1,1367948258,2013-05-08
182.6.195.114,1,1367948664,2013-05-08
65.55.213.69,32,1367965613,2013-05-08
204.93.180.13,2,1367951749,2013-05-08
180.76.5.101,1,1367951874,2013-05-08
66.249.76.102,6,1367996737,2013-05-08
36.81.131.19,1,1367952367,2013-05-08
66.249.76.163,6,1368016778,2013-05-08
65.55.213.66,2,1367965539,2013-05-08
182.11.31.92,1,1367954126,2013-05-08
202.52.132.74,1,1367954781,2013-05-08
110.137.113.194,1,1367955429,2013-05-08
114.79.2.194,1,1367956769,2013-05-08
111.94.115.139,3,1367958435,2013-05-08
157.55.32.107,1,1367958580,2013-05-08
36.81.127.131,1,1367963310,2013-05-08
114.79.18.46,1,1367963668,2013-05-08
39.208.100.158,1,1367964769,2013-05-08
180.246.52.211,2,1367965224,2013-05-08
192.168.7.47,1,1367965144,2013-05-08
203.217.147.152,1,1367965776,2013-05-08
178.207.45.55,1,1367965886,2013-05-08
93.79.241.91,1,1367966743,2013-05-08
103.10.67.50,1,1367968677,2013-05-08
223.255.224.161,1,1367972044,2013-05-08
114.79.48.124,2,1367973292,2013-05-08
36.74.93.124,1,1367974642,2013-05-08
80.93.213.247,1,1367977054,2013-05-08
203.84.156.125,1,1367977206,2013-05-08
114.79.1.155,1,1367981027,2013-05-08
120.168.1.120,7,1367992666,2013-05-08
206.53.152.167,1,1367989230,2013-05-08
223.255.224.166,7,1367993214,2013-05-08
206.53.152.172,1,1367995324,2013-05-08
180.254.56.86,1,1367996439,2013-05-08
112.215.36.182,3,1367997326,2013-05-08
180.183.206.18,1,1367997294,2013-05-08
208.115.113.85,1,1367998052,2013-05-08
182.1.64.105,3,1368003520,2013-05-08
222.165.220.132,1,1368003232,2013-05-08
103.3.221.116,1,1368005025,2013-05-08
180.242.22.57,1,1368005812,2013-05-08
180.253.85.162,1,1368005915,2013-05-08
114.121.195.89,1,1368005955,2013-05-08
114.79.12.2,4,1368008587,2013-05-08
192.168.7.122,1,1368008052,2013-05-08
114.79.12.39,1,1368008376,2013-05-08
222.124.25.34,1,1368008639,2013-05-08
103.12.240.254,1,1368008996,2013-05-08
192.168.6.224,2,1368009298,2013-05-08
39.208.203.194,1,1368011358,2013-05-08
120.89.95.122,2,1368015683,2013-05-08
36.73.41.188,1,1368015027,2013-05-08
91.231.40.53,1,1368015031,2013-05-08
180.214.232.82,2,1368015643,2013-05-08
222.124.51.11,1,1368015537,2013-05-08
222.124.192.156,1,1368016737,2013-05-08
139.192.21.229,3,1368019497,2013-05-08
152.118.24.10,1,1368018855,2013-05-08
180.241.204.58,1,1368019446,2013-05-08
36.72.137.209,1,1368020720,2013-05-08
180.254.58.215,1,1368020808,2013-05-08
124.195.32.154,2,1368021041,2013-05-08
203.78.118.236,1,1368021483,2013-05-08
111.223.252.11,2,1368021710,2013-05-08
141.0.8.229,1,1368022098,2013-05-08
39.192.40.168,2,1368023119,2013-05-08
125.164.110.193,1,1368023864,2013-05-08
178.95.176.242,1,1368023939,2013-05-08
188.162.228.246,1,1368024076,2013-05-08
114.79.29.180,2,1368024205,2013-05-08
87.101.197.74,1,1368025354,2013-05-08
141.0.11.30,1,1368027099,2013-05-08
141.0.10.100,1,1368028631,2013-05-08
88.198.10.89,1,1368029160,2013-05-08
180.249.188.245,1,1368029338,2013-05-08
36.74.94.229,1,1368031774,2013-05-08
115.178.54.200,1,1368032160,2013-05-08
66.249.74.97,8,1368081954,2013-05-09
157.55.32.107,2,1368116635,2013-05-09
114.79.49.147,1,1368033315,2013-05-09
202.152.201.13,1,1368033903,2013-05-09
66.249.80.142,1,1368033947,2013-05-09
223.255.231.101,3,1368034585,2013-05-09
66.249.74.91,15,1368114395,2013-05-09
182.171.179.190,3,1368040037,2013-05-09
118.97.95.23,2,1368043371,2013-05-09
36.76.33.17,1,1368041062,2013-05-09
114.79.2.230,2,1368044079,2013-05-09
180.76.6.223,1,1368045259,2013-05-09
139.193.192.4,1,1368045711,2013-05-09
180.251.42.109,1,1368046834,2013-05-09
180.248.188.174,1,1368046912,2013-05-09
180.214.233.36,4,1368048434,2013-05-09
114.79.28.202,1,1368048446,2013-05-09
180.252.121.53,2,1368048706,2013-05-09
103.10.120.54,1,1368048793,2013-05-09
114.79.13.43,3,1368050006,2013-05-09
202.152.205.122,1,1368054179,2013-05-09
85.17.184.42,3,1368054267,2013-05-09
91.231.40.28,1,1368055377,2013-05-09
36.68.156.57,1,1368057609,2013-05-09
178.255.215.70,1,1368058661,2013-05-09
139.192.21.229,8,1368118352,2013-05-09
114.79.2.157,1,1368063557,2013-05-09
180.214.233.68,4,1368067345,2013-05-09
36.70.98.237,1,1368067238,2013-05-09
110.137.165.93,1,1368071346,2013-05-09
199.48.144.61,1,1368074635,2013-05-09
182.12.190.195,1,1368078929,2013-05-09
192.168.6.191,1,1368086614,2013-05-09
208.78.85.31,1,1368088381,2013-05-09
206.53.152.168,1,1368089620,2013-05-09
180.214.233.91,1,1368090460,2013-05-09
202.58.85.15,3,1368107822,2013-05-09
36.68.121.249,2,1368104555,2013-05-09
180.251.155.51,2,1368095973,2013-05-09
176.36.66.86,1,1368096516,2013-05-09
36.76.38.159,2,1368097031,2013-05-09
146.185.31.212,1,1368096764,2013-05-09
109.205.252.208,1,1368096859,2013-05-09
46.241.2.200,1,1368096877,2013-05-09
178.75.117.136,2,1368097952,2013-05-09
91.105.184.1,1,1368098135,2013-05-09
36.72.143.130,1,1368098694,2013-05-09
109.229.19.62,1,1368098722,2013-05-09
188.162.166.56,1,1368098962,2013-05-09
180.254.1.34,1,1368099276,2013-05-09
93.81.215.36,1,1368100431,2013-05-09
176.53.220.26,1,1368100436,2013-05-09
178.121.181.219,1,1368100471,2013-05-09
95.134.96.191,1,1368100486,2013-05-09
89.185.26.120,1,1368100496,2013-05-09
89.252.57.45,2,1368100571,2013-05-09
136.169.173.253,1,1368100606,2013-05-09
89.189.170.83,1,1368100743,2013-05-09
195.184.204.132,1,1368100797,2013-05-09
94.31.168.20,1,1368100806,2013-05-09
46.0.120.227,1,1368101044,2013-05-09
180.242.7.247,3,1368101889,2013-05-09
37.190.37.44,1,1368102131,2013-05-09
141.0.9.160,2,1368104630,2013-05-09
180.244.126.251,1,1368106167,2013-05-09
118.97.33.142,1,1368108859,2013-05-09
114.4.21.198,1,1368109689,2013-05-09
114.79.1.91,1,1368112023,2013-05-09
141.0.11.71,1,1368113326,2013-05-09
206.53.152.172,1,1368113494,2013-05-09
110.138.175.144,1,1368114808,2013-05-09
114.79.13.168,2,1368115772,2013-05-09
180.214.233.38,1,1368117408,2013-05-09
206.53.148.209,1,1368118340,2013-05-09
114.121.195.90,1,1368118654,2013-05-09
202.152.202.220,3,1368127765,2013-05-10
212.95.174.133,1,1368119750,2013-05-10
139.192.21.229,10,1368152204,2013-05-10
114.120.1.88,1,1368120824,2013-05-10
75.98.9.254,1,1368121001,2013-05-10
114.79.18.53,2,1368122110,2013-05-10
67.208.183.235,2,1368171206,2013-05-10
23.22.59.108,1,1368122140,2013-05-10
65.55.213.66,1,1368123194,2013-05-10
66.249.74.97,4,1368167589,2013-05-10
180.76.6.16,1,1368124030,2013-05-10
216.152.249.156,1,1368127620,2013-05-10
180.254.132.165,1,1368129459,2013-05-10
114.79.3.142,1,1368129991,2013-05-10
206.53.148.218,1,1368130277,2013-05-10
110.139.212.145,1,1368131081,2013-05-10
36.75.0.247,1,1368132038,2013-05-10
120.168.1.167,1,1368133829,2013-05-10
114.79.0.124,1,1368134081,2013-05-10
36.69.61.44,1,1368134215,2013-05-10
65.55.213.69,17,1368134754,2013-05-10
39.221.84.177,1,1368136152,2013-05-10
180.246.107.74,1,1368136284,2013-05-10
114.79.13.6,1,1368136422,2013-05-10
182.30.251.228,1,1368136917,2013-05-10
110.137.62.135,1,1368139738,2013-05-10
39.41.101.94,1,1368140450,2013-05-10
206.53.152.170,1,1368140865,2013-05-10
206.53.152.166,1,1368141515,2013-05-10
91.231.40.51,1,1368141532,2013-05-10
125.160.40.94,2,1368156068,2013-05-10
110.139.24.239,1,1368143220,2013-05-10
66.249.74.91,5,1368157106,2013-05-10
125.161.129.57,1,1368144585,2013-05-10
182.3.89.70,1,1368145233,2013-05-10
125.167.95.241,1,1368145550,2013-05-10
120.174.145.102,1,1368150400,2013-05-10
184.72.188.165,1,1368150482,2013-05-10
178.255.215.70,1,1368153010,2013-05-10
182.0.158.99,1,1368164792,2013-05-10
157.55.32.107,1,1368169734,2013-05-10
66.249.80.142,1,1368171331,2013-05-10
36.83.130.202,1,1368177137,2013-05-10
118.96.30.38,1,1368178763,2013-05-10
222.124.178.98,2,1368182900,2013-05-10
114.199.89.182,1,1368188192,2013-05-10
36.83.143.158,1,1368188349,2013-05-10
180.251.154.95,1,1368190020,2013-05-10
61.247.39.166,1,1368190439,2013-05-10
110.138.108.231,1,1368190795,2013-05-10
180.251.151.155,1,1368191123,2013-05-10
103.3.223.112,2,1368192091,2013-05-10
117.102.92.244,1,1368192429,2013-05-10
126.7.227.176,2,1368192876,2013-05-10
139.228.19.221,1,1368193190,2013-05-10
202.134.5.235,2,1368193275,2013-05-10
110.137.181.33,2,1368193712,2013-05-10
36.83.140.6,1,1368193531,2013-05-10
222.124.55.45,1,1368194748,2013-05-10
141.0.10.70,2,1368195214,2013-05-10
114.79.12.47,1,1368195146,2013-05-10
103.10.64.10,1,1368195520,2013-05-10
103.10.64.20,1,1368198069,2013-05-10
117.103.174.35,2,1368199020,2013-05-10
202.77.107.221,2,1368200943,2013-05-10
110.137.174.126,1,1368202657,2013-05-10
119.110.86.82,2,1368204269,2013-05-10
36.73.106.53,1,1368205050,2013-05-10
223.255.231.219,1,1368205203,2013-05-11
192.168.6.184,3,1368205391,2013-05-11
180.254.148.1,2,1368205688,2013-05-11
80.93.213.247,1,1368206051,2013-05-11
114.79.1.141,1,1368207430,2013-05-11
216.152.252.91,1,1368208258,2013-05-11
180.244.103.248,1,1368209267,2013-05-11
180.76.6.225,1,1368210236,2013-05-11
67.208.183.235,1,1368214677,2013-05-11
36.73.115.20,1,1368214711,2013-05-11
202.152.199.132,1,1368215470,2013-05-11
114.79.61.207,1,1368216368,2013-05-11
36.76.133.172,1,1368216377,2013-05-11
112.215.66.129,2,1368216975,2013-05-11
202.67.38.45,2,1368217575,2013-05-11
36.69.34.129,1,1368217999,2013-05-11
36.73.244.105,1,1368218888,2013-05-11
180.251.33.133,3,1368220216,2013-05-11
110.137.125.75,1,1368219576,2013-05-11
114.79.2.31,1,1368219596,2013-05-11
114.79.17.244,1,1368219974,2013-05-11
180.247.187.209,1,1368220312,2013-05-11
141.0.11.4,1,1368221253,2013-05-11
39.210.231.149,2,1368221317,2013-05-11
157.55.32.107,1,1368222054,2013-05-11
180.254.115.22,4,1368223326,2013-05-11
114.79.16.155,1,1368223033,2013-05-11
36.68.132.80,1,1368224059,2013-05-11
114.79.16.150,3,1368228994,2013-05-11
66.249.74.97,10,1368274207,2013-05-11
180.214.232.67,1,1368233288,2013-05-11
206.53.152.168,1,1368235300,2013-05-11
180.76.5.162,1,1368240784,2013-05-11
126.58.248.135,2,1368248288,2013-05-11
114.79.1.1,1,1368251491,2013-05-11
112.215.66.147,1,1368259693,2013-05-11
91.231.40.53,1,1368262076,2013-05-11
118.172.173.121,1,1368263287,2013-05-11
103.3.221.87,4,1368264241,2013-05-11
91.231.40.27,1,1368264303,2013-05-11
66.249.74.91,3,1368281254,2013-05-11
180.252.148.118,4,1368271087,2013-05-11
125.163.118.81,1,1368272226,2013-05-11
123.49.27.85,1,1368272739,2013-05-11
36.76.45.84,2,1368273674,2013-05-11
103.10.66.75,1,1368276576,2013-05-11
198.20.69.74,1,1368277625,2013-05-11
103.3.222.251,1,1368279607,2013-05-11
118.96.217.194,2,1368279883,2013-05-11
157.55.33.24,1,1368280130,2013-05-11
192.168.6.200,1,1368282644,2013-05-11
118.96.217.34,1,1368283135,2013-05-11
180.246.104.224,1,1368283755,2013-05-11
203.78.118.220,1,1368283882,2013-05-11
192.168.6.182,1,1368286255,2013-05-11
125.165.125.188,1,1368291614,2013-05-12
103.10.64.20,1,1368292029,2013-05-12
182.13.192.41,2,1368292693,2013-05-12
112.215.66.146,1,1368293192,2013-05-12
65.55.52.111,1,1368294954,2013-05-12
157.55.32.107,3,1368352839,2013-05-12
193.105.210.216,1,1368297835,2013-05-12
66.249.74.97,13,1368372922,2013-05-12
192.162.19.195,1,1368299137,2013-05-12
66.249.74.91,4,1368356069,2013-05-12
125.163.166.193,2,1368301377,2013-05-12
65.55.213.69,17,1368323196,2013-05-12
118.96.130.86,1,1368302627,2013-05-12
180.246.53.70,1,1368305365,2013-05-12
141.0.8.137,1,1368305637,2013-05-12
206.53.148.20,1,1368307422,2013-05-12
36.72.68.6,1,1368309460,2013-05-12
123.125.71.52,1,1368312427,2013-05-12
114.79.63.120,1,1368312820,2013-05-12
118.136.50.178,1,1368313649,2013-05-12
65.55.213.66,1,1368323176,2013-05-12
182.10.236.234,1,1368329680,2013-05-12
38.111.147.83,80,1368341922,2013-05-12
112.215.66.67,1,1368345247,2013-05-12
180.76.5.101,1,1368346763,2013-05-12
141.0.8.147,2,1368348764,2013-05-12
118.96.144.85,1,1368350363,2013-05-12
112.215.66.68,1,1368351662,2013-05-12
222.124.124.167,1,1368352993,2013-05-12
66.249.84.91,1,1368355395,2013-05-12
180.247.179.160,1,1368355664,2013-05-12
114.121.195.90,1,1368361213,2013-05-12
139.193.146.129,1,1368364684,2013-05-12
114.79.3.214,1,1368366648,2013-05-12
67.208.183.235,1,1368367741,2013-05-12
206.53.152.172,1,1368369516,2013-05-12
180.245.54.95,1,1368371080,2013-05-12
110.137.46.228,1,1368373203,2013-05-12
114.79.58.82,1,1368373225,2013-05-12
114.79.19.185,1,1368373525,2013-05-12
36.81.144.42,3,1368375236,2013-05-12
36.76.27.64,1,1368377132,2013-05-12
36.68.247.0,1,1368377995,2013-05-12
36.68.247.0,1,1368378005,2013-05-13
114.79.50.145,1,1368378688,2013-05-13
91.231.40.27,1,1368378834,2013-05-13
125.167.14.14,5,1368381928,2013-05-13
118.172.156.14,1,1368379183,2013-05-13
114.79.2.111,1,1368379799,2013-05-13
66.249.73.232,7,1368453281,2013-05-13
141.0.8.173,1,1368381812,2013-05-13
193.105.210.216,1,1368383369,2013-05-13
39.198.91.137,1,1368383480,2013-05-13
36.76.205.180,2,1368384303,2013-05-13
180.249.36.236,2,1368385183,2013-05-13
139.193.193.111,2,1368385996,2013-05-13
36.76.156.195,2,1368386855,2013-05-13
176.122.118.218,1,1368387216,2013-05-13
193.105.210.217,1,1368387718,2013-05-13
223.255.230.71,1,1368387887,2013-05-13
36.68.134.60,1,1368391146,2013-05-13
142.0.129.105,1,1368391304,2013-05-13
66.249.73.183,11,1368463019,2013-05-13
39.218.169.198,1,1368394272,2013-05-13
180.241.122.166,1,1368394436,2013-05-13
139.193.141.162,1,1368396636,2013-05-13
202.46.129.12,1,1368397087,2013-05-13
114.79.54.54,1,1368398566,2013-05-13
223.255.231.104,2,1368402293,2013-05-13
91.231.40.51,1,1368402596,2013-05-13
114.79.55.66,1,1368406769,2013-05-13
192.168.6.44,1,1368412560,2013-05-13
91.121.6.190,3,1368415218,2013-05-13
157.56.92.174,1,1368416715,2013-05-13
180.214.232.78,9,1368418011,2013-05-13
223.255.231.85,1,1368427619,2013-05-13
223.255.225.80,1,1368433185,2013-05-13
